name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
shanghai,2022-03-05,15.6,7.7,11.6,15.6,5.5,11.1,2.1,58.6,0,0,0,,0,0,38.2,27,38.8,1019.5,36.8,8.8,243.6,19.3,8,10,2022-03-05T06:16:48,2022-03-05T17:55:00,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-06,12.7,7.6,9.1,12.7,5.4,7.8,-2.5,45.1,0.7,100,8.33,rain,0,0,32.8,18.3,75.8,1024.3,93.4,11.7,166,13.3,7,10,2022-03-06T06:15:37,2022-03-06T17:55:43,0.11,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-07,15.3,6.9,10.4,15.3,6,9.9,1.3,55.2,0.7,100,12.5,rain,0,0,27.4,15,343.2,1022.2,22.5,10.9,241.4,20.1,8,10,2022-03-07T06:14:26,2022-03-07T17:56:26,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-08,19.7,6.6,12.7,19.7,6.2,12.6,4.3,59.5,0,0,0,,0,0,27.7,17.4,193.5,1019.6,0,10.4,244.7,21.3,8,10,2022-03-08T06:13:15,2022-03-08T17:57:09,0.17,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-09,20.4,8.3,14.1,20.4,7.5,13.8,5.3,57.5,0,0,0,,0,0,43.9,23.1,135.6,1020,0.4,10.3,248.8,21.4,8,10,2022-03-09T06:12:03,2022-03-09T17:57:51,0.21,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-10,21.3,11.6,15.9,21.3,11.6,15.9,9.5,66.8,0,0,0,,0,0,51.5,24.1,158.6,1016.4,49.9,10.5,164.5,14.3,7,10,2022-03-10T06:10:50,2022-03-10T17:58:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-11,25.5,13.2,18.8,25.5,13.2,18.8,11.9,67.5,0,0,0,,0,0,28.8,18,111.1,1014.7,35.2,10.2,195.9,17,7,10,2022-03-11T06:09:37,2022-03-11T17:59:15,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-12,25.8,13.8,19.4,25.8,13.8,19.4,14.6,75.9,0,0,0,,0,0,51.8,24.8,151.7,1013.4,27.4,9.2,239.1,20.6,8,10,2022-03-12T06:08:24,2022-03-12T17:59:57,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-13,27.8,16.6,21.3,28,16.6,21.3,15.1,69.2,0.7,100,4.17,rain,0,0,50.4,22.6,153.5,1010.6,60.1,10.5,156.3,13.4,7,30,2022-03-13T06:07:11,2022-03-13T18:00:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-14,29,13.3,18.5,29.5,13.3,18.5,13.1,72.3,0.3,100,4.17,rain,0,0,44.6,37.6,20,1013.3,41.7,8.6,183.3,15.8,7,30,2022-03-14T06:05:57,2022-03-14T18:01:19,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-15,21.5,10.5,15.5,21.5,10.5,15.5,7.4,61.1,0,0,0,,0,0,36.4,18.2,122.2,1014.7,17.7,10.4,246.8,21.3,8,10,2022-03-15T06:04:43,2022-03-15T18:02:00,0.4,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-16,27.2,13.1,19.8,27.5,13.1,19.8,13.7,69.7,0,0,0,,0,0,50,20.7,141.4,1011.4,58.4,10.3,209.3,18.3,7,10,2022-03-16T06:03:28,2022-03-16T18:02:40,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-17,19.3,10.2,15.4,19.3,10.2,15.4,14.9,96.5,12.9,100,16.67,rain,0,0.1,58,31.5,34.6,1008.7,84,9.1,25.7,2.2,1,10,2022-03-17T06:02:13,2022-03-17T18:03:21,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-18,11.1,7.2,9.3,11.1,3.5,7.4,7.2,87.5,1,100,8.33,rain,0,0,51.1,28.2,317.5,1013,90.5,8.7,71.6,6,3,10,2022-03-18T06:00:59,2022-03-18T18:04:01,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-19,13.4,7.5,10.2,13.4,4.3,9,6,75.3,0.1,100,4.17,rain,0,0,42.5,25.8,12,1015.2,86.4,8.6,55.2,4.7,1,10,2022-03-19T05:59:43,2022-03-19T18:04:41,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-20,8.2,7,7.8,6.6,3.8,5.5,5.1,84.1,23.1,100,16.67,rain,0,0.1,29.5,20.1,61.2,1020.2,80.2,10,16.5,1.4,1,10,2022-03-20T05:58:28,2022-03-20T18:05:21,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-21,9,7.8,8.2,6.3,4,5.1,7.4,95.1,56.4,100,29.17,rain,0,0.3,57.6,28.5,63.1,1020.3,98.7,9.5,14,1.1,1,10,2022-03-21T05:57:13,2022-03-21T18:06:01,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
